latitude,longitude,country,capital_city,population,gdp,currency,president
26.820553,30.802498,Egypt,Cairo,42 Million. (2018),219 Billion (2010),Pound (EGP),Abdel Fattah el-Sisi
28.16324,2.632388,Algeria,Algiers,35 Million.    (2018),161 Billion (2010),Dinar (DZD),Abdelmadjid Tebboune
9.081999,8.675277,Nigeria,Lagos,158 Million.  (2018),363 Billion (2010),Nigerian naira,Muhammadu Buhari
-0.023559,37.906193,Kenya,Nairobi,42 Million. (2018),40 Billion  (2010),Kenyan shilling (KSH),Uhuru Kenyatta
-30.559482,22.937506,South Africa,Pretoria,51 Million. (2017),375 Billion  (2010),South african rand,Cyril Ramaphosa
-19.015438,29.154857,Zimbabwe,Harare,12 Million.  (2017),12 Billion  (2010),Zimbabwean dollar,Emerson Mnangagwa
-25.274398,133.775136,Australia,Canberra,24.99 million (2018),1146 Billion (2010),Australian dollar,Scott Morrison
-14.235004,-51.92528,Brazil, Brasilia,209.5 million (2018),2208 Billion (2010),Brazilian real,Jair Bolsonaro
56.130366,-106.346771,Canada,Ottawa,37.59Êmillion (2019),1613 Billion (2010),Canadian dollar,Justin Trudeau
35.86166,104.195397,China,Beijing,1.393 billion (2018),6087 (2010),Renminbi (CNY),Xi Jinping
4.570868,-74.297333,Colombia,Bogota,49.65 million (2018),282 Billion  (2010),Peso,Ivan Duque Marquez
55.378051,-3.435973,United Kingdom,London,66.65 million (2019),2475 Billion  (2010),British Pound ,Boris Jonhson
20.593684,78.96288,India,New Delhi,1353 billion (2018),1675 Billion  (2010),Rupee,Ram Nath Kovind
32.427908,53.688046,Iran,Tehran,81.8 million (2018), 487 Billion(2010),Iranian rial,Hassan Rouhani
37.09024,-95.712891,United States,"Washington, D.C.",328.2Êmillion (2019),14992 Billion  (2010),US dollar,ÊDonald Trump
51.919438,19.145136,Poland,Warsaw,37.97 million (2019),479 Billion  (2010),Polish zloty,Andrzel Duda
60.128161,18.643501,Sweden,Stockholm,10.23 million (2019),488 Billion  (2010),Swedish Krona,Stefan Lofven
61.52401,105.318756,Russia,Moswaw,144.5 million (2018),1524 Billion  (2010),Russian ruble,Vladimir Putin
-38.416097,-63.616672,Agentina,Buenos Aires,44.49 million (2018),423 Billion  (2010),Argentine peso,Alberto Fernandez
