latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain,December_rain,,,,,,,,,,,,
-25.274398,133.775136,Australia,29.4761,29.4761,26.0435,22.962,18.8748,15.5021,15.3706,17.3374,21.4029,23.8622,25.6591,27.5784,63.2635,60.3871,68.9047,18.7859,34.1994,28.6288,21.1262,10.0622,15.9701,11.891,47.1176,43.0585,,,,,,,,,,,,,
-14.235004,-51.92528,Brazil,26.3435,26.3703,26.327,25.6717,24.9765,24.6711,24.1988,24.4792,26.0349,26.4174,26.1291,26.3653,234.139,228.47,197.588,173.695,142.058,89.6447,71.8725,60.1136,71.143,119.35,172.05,212.597,,,,,,,,,,,,,
56.130366,-106.346771,Canada,-23.274,-21.793,-16.565,-10.353,-0.0042,8.53396,11.2572,10.2833,4.93302,-2.2488,-14.435,-23.914,24.7111,18.8119,22.4556,24.992,35.795,52.6391,57.5219,61.7883,48.5933,34.9291,37.2843,26.3581,,,,,,,,,,,,,
35.86166,104.195397,China,-8.471,-4.6516,2.61252,7.89722,14.1109,18.0953,20.1319,19.6785,14.3211,8.30514,0.48485,-5.8042,6.55329,13.8975,24.0422,40.3624,75.4827,93.0079,124.487,94.3048,59.4841,29.3524,20.0206,13.3212,,,,,,,,,,,,,
4.570868,-74.297333,Colombia,25.4676,25.3629,25.9262,25.5911,24.6531,24.6298,24.2621,24.2636,24.9211,24.9335,24.7506,24.7978,64.4901,172.02,137.485,183.056,367.192,232.212,153.626,302.247,208.206,191.849,204.808,132.603,,,,,,,,,,,,,
26.820553,30.802498,Egypt,14.7386,16.7301,20.5032,22.5342,28.6024,29.9206,29.5288,30.2866,28.6534,23.6777,20.8179,14.6599,9.83019,2.08693,0.7509,0.9794,0.84011,1.55332,2.47999,9.08493,1.02467,0.31919,0.58748,6.73026,,,,,,,,,,,,,
55.378051,-3.435973,United Kingdom,3.51217,2.95438,2.95724,7.24076,9.61797,13.1,16.4975,15.3554,12.9354,10.9979,6.0325,5.44848,198.499,121.335,70.797,89.4543,61.8482,93.0229,52.4224,71.4697,77.0556,78.2151,173.271,101.811,,,,,,,,,,,,,
20.593684,78.96288,India,17.1164,19.7138,24.239,27.9013,30.7841,28.6722,26.9087,26.342,26.7805,25.1538,20.9748,18.0012,7.37833,25.1718,13.4231,32.6442,46.3816,241.754,320.851,234.015,149.673,113.264,19.3736,6.2549,,,,,,,,,,,,,
32.427908,53.688046,Iran,6.6637,8.89561,13.2573,17.3167,22.8868,28.39,30.1421,28.2029,25.0263,19.0828,12.3483,5.99316,19.865,24.6693,29.1025,27.3962,18.9588,2.86009,0.45166,10.6639,1.33674,3.7656,33.3303,19.5069,,,,,,,,,,,,,
-0.023559,37.906193,Kenya,25.5601,26.66,27.1454,25.0039,25.5921,23.2803,23.7706,23.5732,25.195,25.2564,25.812,25.3371,42.9715,16.8768,145.511,152.402,68.7326,27.0903,25.5887,51.8061,45.2457,36.5215,84.2852,72.66,,,,,,,,,,,,,
