latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain
-25.274398,133.775136,Australia,28.8017,27.3039,26.1565,22.9487,19.5503,15.3384,14.3826,15.8921,20.2009,24.411,26.891,27.8269,89.3314,93.7426,21.1328,17.1411,14.5893,21.7722,12.1705,9.9425,30.0185,52.5159,30.0185,52.5159
-14.235004,-51.92528,Brazil,26.3036,26.1074,25.8583,25.8516,24.9854,24.5019,24.0488,25.2642,26.7976,26.9956,26.6407,26.4223,202.178,229.507,265.345,194.447,136.029,83.6343,69.5019,49.0319,67.9334,95.0624,171.367,185.708
56.130366,-106.346771,Canada,-21.165,-23.899,-20.401,-10.764,1.02454,8.62703,12.3595,10.5958,4.00952,-2.7099,-14.308,-18.014,32.0206,19.879,24.2212,28.3553,30.3619,61.6812,62.026,49.3651,44.8492,46.8425,39.2413,28.9359
35.86166,104.195397,China,-6.5408,-5.6595,2.41522,9.31766,11.5602,17.7751,19.8805,18.4652,14.591,8.45792,0.86643,-6.6938,4.06173,17.6996,28.6697,35.3069,41.461,97.5776,106.588,91.6069,71.0721,26.2672,20.4563,9.21946
4.570868,-74.297333,Colombia,25.2457,25.429,25.6165,25.5014,24.8246,24.7952,24.7319,24.5885,25.0544,24.8459,25.0103,25.1278,101.263,124.893,163.249,196.952,266.601,208.37,189.856,225.373,190.831,246.692,222.983,177.859
26.820553,30.802498,Egypt,14.8192,16.4161,18.5174,24.5881,27.7131,29.5857,30.6837,31.0895,28.9764,24.8999,19.6535,16.6284,9.83019,2.08693,0.7509,0.9794,0.84011,1.55332,2.47999,9.08493,1.02467,0.31919,0.58748,6.73026
55.378051,-3.435973,United Kingdom,4.68923,4.98579,6.52346,9.10902,11.1199,14.1693,16.3148,14.1145,13.7925,10.926,7.58445,4.38727,207.892,173.26,82.7026,69.1263,107.035,61.6749,67.5682,136.877,28.1293,187.72,154.577,119.57
20.593684,78.96288,India,17.1908,19.0079,23.4065,27.9074,29.5613,30.5908,27.9044,27.1637,26.4604,25.3263,21.8234,16.8068,23.8258,20.9625,23.3837,54.4547,91.2067,246.599,207.789,196.251,63.3887,14.4773,8.15783,
32.427908,53.688046,Iran,5.05199,5.04736,13.0348,18.517,24.1198,28.6808,30.1945,29.3703,25.8551,18.8014,10.5509,7.29314,38.1488,15.8024,31.9591,24.3851,10.0222,5.81536,4.60635,0.27095,1.24067,16.7246,25.6829,9.56905
-0.023559,37.906193,Kenya,25.6409,26.6889,26.8922,25.4701,25.6096,25.0937,24.5677,23.8324,24.8383,25.4047,25.4512,25.4477,20.1543,34.7628,60.4054,61.9105,66.4223,43.8258,27.0972,36.4492,47.0196,63.8456,102.131,50.6548
9.081999,8.675277,Nigeria,26.3015,27.7113,30.0542,30.6615,29.1747,28.6219,26.8911,25.5508,26.2872,27.3096,27.2629,25.1845,3.42222,5.32548,20.1162,90.945,120.8,123.055,163.131,220.836,243.53,98.7443,12.6312,3.54086
37.09024,-95.712891,United States,-3.6393,-4.6473,0.21163,6.95186,13.3534,17.5618,19.9679,19.5471,15.5989,9.18773,0.48912,-1.1944,35.9334,44.1704,45.5822,58.9449,56.7906,87.2467,69.0037,73.7372,63.0291,49.6504,43.6604,56.6344
-30.559482,22.937506,South Africa,24.6513,23.9098,21.4032,18.2833,15.9056,11.7323,11.5029,14.065,17.2654,19.9081,20.2494,22.7838,54.728,85.0606,56.2847,36.7882,14.5488,8.50013,7.43038,14.7823,11.1662,12.645,73.6885,86.0506
-13.133897,27.849332,Madagascar,24.9221,24.8834,25.3154,23.6326,21.8564,20.589,19.905,20.4327,21.3809,22.9134,24.2272,24.8329,274.583,250.496,211.967,74.6999,24.3985,50.5848,127.169,29.587,13.6783,33.1657,223.703,299.039
-19.015438,29.154857,Zimbabwe,24.14,24.0237,23.662,21.0789,19.3487,17.1055,16.3527,18.8749,22.0622,24.1526,25.3182,24.4064,221.337,63.4251,61.8282,20.5415,2.28999,0.49545,0.85853,0.54956,1.50046,6.40999,6.82784,221.234
51.919438,19.145136,Poland,-1.4889,2.82461,7.01522,10.0992,13.4729,15.9918,20.5855,17.6759,14.9221,10.5462,5.30792,1.26866,41.0066,18.1398,31.0103,38.2549,94.6299,59.2758,90.4567,87.9434,48.7273,46.9633,21.6214,52.3061
60.128161,18.643501,Sweden,-9.6447,-2.9749,-1.0938,2.42752,7.10368,11.5333,17.0625,13.6754,9.34882,3.9999,-1.6477,-5.723,33.6584,41.3086,44.6538,36.5546,45.2136,53.0652,51.1143,74.961,53.8351,73.2135,47.6889,68.0621
28.16324,2.632388,Algeria,13.6113,15.6127,18.3467,24.0039,28.0714,32.1331,33.2939,32.979,30.4613,25.5539,19.121,13.3388,8.16066,5.15702,9.59921,1.19663,9.74257,4.28901,1.62548,2.54547,5.22667,3.22473,14.0474,9.50248
