latitude,longitude,country,January_Avg_temp,February_Avg_temp,March_Avg_temp,April_Avg_temp,May_Avg_temp,June_Avg_temp,July_Avg_temp,August_Avg_temp,September_Avg_temp,October_Avg_temp,November_Avg_temp,December_Avg_temp,January_rain,February_rain,March_rain,April_rain,May_rain,June_rain,July_rain,August_rain,September_rain,October_rain,November_rain,December_rain,January_maxtemp,February_maxtemp,March_maxtemp,April_maxtemp,May_maxtemp,June_maxtemp,July_maxtemp,August_maxtemp,September_maxtemp,October_maxtemp,November_maxtemp,December_maxtemp,January_wind,February_wind,March_wind,April_wind,May_wind,June_wind,July_wind,August_wind,September_wind,October_wind,November_wind,December_wind,January_humidity,February_humidity,March_humidity,April_humidity,May_humidity,June_humidity,July_humidity,August_humidity,September_humidity,October_humidity,November_humidity,December_humidity
-25.274398,133.775136,Australia,28.3713,28.306,27.0285,23.8023,19.6843,16.0292,14.8634,16.1341,18.8,22.0308,25.7045,27.5676,77.3908,43.8091,69.9735,16.6228,33.7134,47.2373,35.7379,24.6104,33.5767,23.9805,27.3712,68.8149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.235004,-51.92528,Brazil,26.7768,26.6768,26.5488,26.605,26.7497,25.1179,23.9542,24.7449,25.5629,25.9775,27.0781,26.7037,26.5119,201.924,200.512,150.809,108.458,77.1786,55.9171,54.0275,67.9271,129.909,129.564,197.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.130366,-106.346771,Canada,-19.128,-19.997,-15.174,-9.3411,2.05738,8.59,12.023,10.9239,5.10525,-4.0432,-9.6162,-20.984,24.4741,27.4503,27.6842,25.1448,29.7758,51.4911,62.4187,59.6117,50.3805,48.3012,32.7788,26.8646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.86166,104.195397,China,-8.4061,-4.7359,2.7982,9.53561,13.3823,17.9646,20.5391,19.7398,15.208,7.60166,-0.3605,-3.9229,17.7703,19.0615,12.3009,20.3785,51.1857,72.2258,116.645,132.283,88.3762,63.3524,47.9835,26.6239,10.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.570868,-74.297333,Colombia,26.3748,26.5149,25.9224,25.949,25.3291,24.9209,24.6671,25.3362,25.0804,25.4059,25.1146,25.0789,82.9881,73.5669,181.854,293.124,256.627,180.777,256.253,225.063,233.826,234.979,124.15,134.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.820553,30.802498,Egypt,13.0717,17.0935,18.6792,24.2859,27.9361,30.655,30.7874,31.0595,28.8078,25.8103,20.5635,13.7739,5.25677,1.14635,2.81793,2.1399,0.5404,1.55664,2.77524,1.47609,0.87034,3.08796,1.11661,2.59268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.378051,-3.435973,United Kingdom,4.56022,3.6933,5.31805,6.47751,11.1735,13.7769,15.2225,15.489,14.2432,9.77347,5.32233,5.8032,201.177,114.359,98.9386,93.2093,65.8564,110.79,87.5508,78.9347,106.699,62.7988,116.401,84.3641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.593684,78.96288,India,17.9585,21.1902,25.2946,29.147,30.5832,29.9314,27.2715,26.8598,26.747,25.302,21.2987,18.8905,7.65333,9.3345,21.2971,21.3067,63.5447,149.416,322.162,235.774,156.579,51.0386,8.62107,9.65157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.427908,53.688046,Iran,7.29824,9.16896,13.6676,17.8158,24.6454,28.2153,30.4708,28.7549,25.9207,18.5889,10.8553,8.24654,21.1785,15.7587,35.2916,33.5113,17.4443,5.06838,6.62545,0.28703,2.53076,4.18067,6.77577,21.4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.023559,37.906193,Kenya,27.0367,27.5964,27.7507,26.9416,25.3344,24.2913,24.256,24.0942,24.437,26.0317,25.5692,25.7401,56.7251,18.22,30.4865,166.705,70.6712,34.905,34.5489,25.5342,15.1428,40.0055,121.997,100.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.081999,8.675277,Nigeria,25.2237,27.7917,31.262,31.2745,29.6423,27.702,26.305,25.8658,26.5766,27.8097,27.7698,26.3608,1.34655,2.68587,52.1597,64.8811,138.707,220.81,157.084,245.549,235.456,110.164,6.83095,0.74864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
